00070.ppm;946;300;1026;373;23
00071.ppm;788;437;828;473;24
00071.ppm;794;474;822;502;1
00071.ppm;794;503;821;529;9
00072.ppm;836;456;858;478;4
00073.ppm;723;431;752;457;23
00073.ppm;727;457;748;477;2
00073.ppm;727;476;749;497;9
00073.ppm;425;428;456;455;23
00073.ppm;430;453;452;475;2
00073.ppm;432;475;452;495;9
00074.ppm;383;527;421;569;38
00074.ppm;439;401;488;452;14
00074.ppm;929;378;981;431;14
00075.ppm;1120;350;1187;409;23
00075.ppm;1131;409;1179;456;4
00076.ppm;784;440;819;472;21
00076.ppm;789;471;815;495;2
00077.ppm;951;348;1015;408;20
00077.ppm;962;408;1011;455;9
00078.ppm;1211;206;1319;305;29
00078.ppm;800;462;821;483;13
00079.ppm;762;459;792;489;11
00080.ppm;829;381;880;432;9
00081.ppm;966;228;1044;299;13
00081.ppm;233;499;249;521;38
00082.ppm;247;492;331;580;38
00083.ppm;1054;208;1152;296;13
00083.ppm;1071;297;1142;368;40
00084.ppm;707;523;734;551;38
00085.ppm;846;429;875;458;1
00086.ppm;944;298;1007;361;12
00087.ppm;912;435;946;470;6
00087.ppm;306;421;340;456;6
00088.ppm;956;464;982;490;10
00088.ppm;410;464;436;490;10
00088.ppm;412;440;436;464;8
00088.ppm;956;440;981;464;8
00089.ppm;1025;438;1054;468;5
00089.ppm;634;447;660;474;5
00090.ppm;966;428;1007;464;13
00091.ppm;869;443;899;471;13
00091.ppm;1056;377;1096;414;13
00091.ppm;509;382;553;422;13
00092.ppm;718;440;739;462;13
00092.ppm;420;419;447;446;12
00092.ppm;423;449;444;470;35
00093.ppm;344;397;379;436;1
00093.ppm;1076;339;1119;389;1
00094.ppm;946;370;995;419;16
00094.ppm;113;316;189;392;16
00095.ppm;698;461;719;481;1
00095.ppm;695;437;723;461;19
00096.ppm;699;396;738;435;17
00096.ppm;1140;420;1176;458;17
00097.ppm;1125;338;1168;378;13
00097.ppm;288;328;334;368;13
00097.ppm;148;446;196;499;38
00098.ppm;1206;244;1296;323;13
00098.ppm;594;286;668;353;13
00099.ppm;910;495;953;533;20
00100.ppm;413;507;451;541;30
00100.ppm;863;505;902;540;30
00101.ppm;835;406;891;461;5
00102.ppm;933;314;990;365;13
00102.ppm;945;374;984;415;34
00103.ppm;855;396;890;431;36
00103.ppm;847;349;897;397;12
00104.ppm;767;462;808;499;25
00104.ppm;695;461;730;492;13
00105.ppm;256;438;303;484;18
00105.ppm;958;378;1024;440;26
00106.ppm;902;369;985;443;25
00107.ppm;486;485;540;537;25
00107.ppm;490;536;529;576;1
00109.ppm;990;484;1020;513;3
00110.ppm;929;489;954;513;9
00111.ppm;1091;465;1123;497;3
00111.ppm;350;503;382;535;3
00112.ppm;366;473;399;508;3
00112.ppm;1186;475;1225;514;3
00113.ppm;351;413;419;480;10
00114.ppm;1169;421;1231;484;3
00115.ppm;850;218;950;317;14
00115.ppm;330;523;351;545;38
00116.ppm;1078;254;1136;312;35
00116.ppm;383;473;400;502;17
00117.ppm;99;425;131;466;17
00117.ppm;438;500;496;558;38
00118.ppm;229;505;285;564;38
00119.ppm;847;472;873;496;23
00119.ppm;1082;393;1120;431;12
00120.ppm;58;243;164;345;2
00121.ppm;91;308;185;416;7
00122.ppm;500;496;521;518;7
00122.ppm;883;498;904;520;7
00123.ppm;519;492;550;524;7
00123.ppm;1101;483;1133;516;7
00124.ppm;532;481;558;507;4
00124.ppm;976;470;1002;496;4
00125.ppm;1019;313;1106;401;2
00126.ppm;840;374;868;404;2
00126.ppm;379;365;411;396;2
00127.ppm;138;385;175;423;5
00127.ppm;1009;380;1046;417;5
00128.ppm;1147;397;1180;431;12
00129.ppm;962;379;1008;426;9
00129.ppm;866;399;905;439;26
00130.ppm;209;426;236;453;1
00130.ppm;601;431;626;456;1
00130.ppm;318;439;345;467;18
00131.ppm;1010;430;1034;455;9
00131.ppm;474;389;500;415;1
00132.ppm;314;306;393;377;18
00133.ppm;839;408;861;432;12
00133.ppm;841;432;858;450;36
00133.ppm;505;415;522;432;35
00134.ppm;1008;299;1073;365;1
00135.ppm;718;298;777;356;1
00136.ppm;816;401;857;437;11
00137.ppm;824;324;892;384;11
00138.ppm;157;179;235;268;15
00138.ppm;1302;399;1336;432;15
00140.ppm;247;472;275;501;14
00141.ppm;857;379;894;416;2
00142.ppm;816;454;835;473;2
00143.ppm;241;187;310;256;12
00144.ppm;708;445;727;464;4
00146.ppm;1205;122;1327;246;41
00146.ppm;707;404;732;426;28
00146.ppm;711;427;729;445;2
00147.ppm;750;419;784;452;20
00148.ppm;872;353;943;416;30
00149.ppm;1131;274;1221;361;4
00149.ppm;1110;158;1231;273;12
00149.ppm;703;461;725;483;12
00150.ppm;824;345;865;386;2
00151.ppm;794;372;824;401;1
00152.ppm;605;424;627;447;12
00153.ppm;307;409;338;440;35
00154.ppm;692;410;717;436;35
00155.ppm;425;386;468;431;38
00156.ppm;819;388;848;417;9
00157.ppm;262;423;297;460;9
00157.ppm;885;392;926;432;9
00157.ppm;650;505;671;526;38
00158.ppm;907;414;933;440;41
00159.ppm;974;443;1031;506;39
00159.ppm;713;476;740;503;39
00159.ppm;86;473;117;504;38
00159.ppm;890;466;917;505;38
00160.ppm;610;388;653;428;25
00161.ppm;717;445;735;462;34
00162.ppm;244;430;262;448;17
00162.ppm;713;433;732;452;17
00162.ppm;544;444;562;462;17
00163.ppm;753;473;825;545;38
00164.ppm;874;375;918;416;26
00165.ppm;382;412;399;431;1
00165.ppm;689;292;745;340;11
00166.ppm;814;382;848;416;1
00167.ppm;369;446;392;469;2
00167.ppm;729;433;750;455;2
00168.ppm;693;419;719;442;18
00169.ppm;1089;153;1212;276;2
00170.ppm;912;322;944;358;4
00171.ppm;882;335;932;385;4
00171.ppm;883;385;932;433;9
00172.ppm;712;471;740;495;25
00172.ppm;718;418;737;437;1
00173.ppm;1111;279;1161;329;1
00174.ppm;718;413;753;444;28
00174.ppm;723;443;747;467;2
00174.ppm;801;302;860;364;12
00175.ppm;893;341;944;396;9
00176.ppm;850;414;875;440;2
00177.ppm;271;416;313;458;14
00177.ppm;746;423;785;462;14
00177.ppm;502;451;519;468;38
00177.ppm;1271;402;1308;437;13
00178.ppm;728;456;748;476;2
00179.ppm;686;421;707;440;12
00180.ppm;968;384;1004;421;2
00181.ppm;793;299;853;359;4
00182.ppm;656;412;685;441;2
00182.ppm;658;385;686;414;41
00183.ppm;766;369;806;406;19
00184.ppm;790;273;850;334;1
00185.ppm;967;150;1076;257;2
00186.ppm;603;455;621;474;4
00186.ppm;325;428;345;448;4
00186.ppm;602;433;625;456;12
00187.ppm;675;405;709;439;2
00187.ppm;161;393;194;428;2
00188.ppm;705;379;752;422;11
00189.ppm;853;339;917;394;18
00190.ppm;670;400;689;421;35
00191.ppm;693;406;728;439;11
00192.ppm;492;414;516;437;17
00192.ppm;314;440;334;461;1
00192.ppm;662;262;738;339;12
00193.ppm;727;224;834;331;14
00194.ppm;718;306;787;369;28
00195.ppm;1040;155;1161;268;11
00195.ppm;784;398;820;430;18
00196.ppm;726;316;787;370;13
00196.ppm;734;370;778;416;33
00196.ppm;534;471;558;496;38
00197.ppm;867;278;956;361;11
00198.ppm;681;438;699;456;36
00198.ppm;678;412;702;435;14
00199.ppm;826;322;882;374;11
00200.ppm;840;287;915;364;14
00200.ppm;849;364;901;416;34
00200.ppm;648;410;670;433;17
00200.ppm;257;403;281;428;17
